,SNB:507.25,Maj.Res:1.25
Echelon,1,2,3,4,5,6,7,8,9,10,11,12
NR,Coeff,1.00,1.06,1.07,1.09,1.12,1.15,1.18,1.22,1.26,1.30,1.315,1.33
30,226.0,1432.98,1518.96,1533.29,1561.95,1604.94,1647.93,1690.92,1748.24,1805.56,1862.88,1884.37,1905.87
35,230.4,1460.88,1548.53,1563.14,1592.36,1636.19,1680.01,1723.84,1782.27,1840.71,1899.14,1921.06,1942.97
40,234.9,1489.41,1578.78,1593.67,1623.46,1668.14,1712.82,1757.51,1817.08,1876.66,1936.24,1958.58,1980.92
45,239.6,1519.21,1610.37,1625.56,1655.94,1701.52,1747.10,1792.67,1853.44,1914.21,1974.98,1997.77,2020.55
50,244.3,1549.01,1641.96,1657.45,1688.43,1734.90,1781.37,1827.84,1889.80,1951.76,2013.72,2036.95,2060.19
55,249.0,1578.82,1673.54,1689.33,1720.91,1768.27,1815.64,1863.00,1926.16,1989.31,2052.46,2076.14,2099.82
60,253.8,1609.25,1705.81,1721.90,1754.08,1802.36,1850.64,1898.92,1963.29,2027.66,2092.03,2116.16,2140.30
65,259.0,1642.22,1740.76,1757.18,1790.02,1839.29,1888.56,1937.82,2003.51,2069.20,2134.89,2159.52,2184.16
70,264.4,1676.46,1777.05,1793.81,1827.34,1877.64,1927.93,1978.22,2045.28,2112.34,2179.40,2204.55,2229.69
75,269.4,1708.16,1810.65,1827.74,1861.90,1913.14,1964.39,2015.63,2083.96,2152.29,2220.61,2246.24,2271.86
80,274.2,1738.60,1842.92,1860.30,1895.07,1947.23,1999.39,2051.55,2121.09,2190.64,2260.18,2286.26,2312.34
85,280.5,1778.55,1885.26,1903.04,1938.61,1991.97,2045.33,2098.68,2169.83,2240.97,2312.11,2338.79,2365.47
90,286.9,1819.13,1928.27,1946.46,1982.85,2037.42,2091.99,2146.57,2219.33,2292.10,2364.86,2392.15,2419.44
95,293.2,1859.07,1970.62,1989.21,2026.39,2082.16,2137.93,2193.70,2268.07,2342.43,2416.79,2444.68,2472.56
